,0
26,"Bulgaria [+] 2019 61.538 31.515 30.023 8,80‰ 1,58 1,28%"
27,"Baréin [+] 2019 13,62‰ 1,96 -1,16%"
28,"Burundi [+] 2019 38,38‰ 5,32 -1,65%"
29,"Benin [+] 2019 35,83‰ 4,77 -1,43%"
30,"Brunéi [+] 2019 14,46‰ 1,82 -1,57%"
31,"Bolivia [+] 2019 21,46‰ 2,69 -1,54%"
32,"Brasil [+] 2019 13,70‰ 1,72 -0,64%"
33,"Bahamas [+] 2019 13,88‰ 1,74 -0,51%"
34,"Bután [+] 2019 17,01‰ 1,95 -1,06%"
35,"Botsuana [+] 2019 24,23‰ 2,84 -1,32%"
36,"Bielorrusia [+] 2019 87.602 48.240 45.802 9,30‰ 1,38 -4,69%"
37,"Belice [+] 2019 20,51‰ 2,27 -1,43%"
38,"Canadá [+] 2019 388.729 199.381 189.348 9,90‰ 1,47 -2,00%"
39,"República Democrática del Congo [+] 2019 40,64‰ 5,82 -1,69%"
40,"República Centroafricana [+] 2019 35,09‰ 4,65 -1,61%"
41,"República del Congo [+] 2019 32,40‰ 4,37 -1,22%"
42,"Suiza [+] 2019 86.172 44.123 42.049 10,00‰ 1,48 -2,63%"
43,"Costa de Marfil [+] 2019 35,46‰ 4,59 -1,20%"
44,"Chile [+] 2019 12,19‰ 1,63 -1,33%"
45,"Camerún [+] 2019 34,89‰ 4,51 -1,44%"
46,"Colombia [+] 2019 649.742 333.299 316.443 14,66‰ 1,79 -1,00%"
47,"Costa Rica [+] 2019 13,69‰ 1,74 -0,97%"
48,"Cuba [+] 2019 9,96‰ 1,60 -0,99%"
49,"Cabo Verde [+] 2019 19,06‰ 2,24 -1,41%"
50,"Chipre [+] 2019 9.548 4.850 4.698 10,80‰ 1,33 0,76%"
51,"Chequia [+] 2019 112.231 57.585 54.646 10,50‰ 1,71 0"
52,"Yibuti [+] 2019 21,00‰ 2,68 -1,91%"
53,"Dinamarca [+] 2019 61.167 31.519 29.648 10,50‰ 1,70 -1,73%"
54,"Dominica [+] 2017 9,60‰ 1,90 0"
55,"República Dominicana [+] 2019 19,19‰ 2,32 -0,98%"
56,"Argelia [+] 2019 23,58‰ 2,99 -1,16%"
57,"Ecuador [+] 2019 19,46‰ 2,40 -0,99%"
58,"Estonia [+] 2019 14.099 7.212 6.887 10,60‰ 1,66 -0,60%"
59,"Egipto [+] 2019 25,71‰ 3,28 -1,38%"
60,"Eritrea [+] 2019 29,74‰ 4,00 -1,45%"
61,"Etiopía [+] 2019 31,90‰ 4,15 -2,38%"
62,"Finlandia [+] 2019 45.613 23.186 22.427 8,30‰ 1,35 -4,26%"
63,"Fiyi [+] 2019 20,95‰ 2,75 -0,72%"
64,"Estados Federados de Micronesia [+] 2019 22,71‰ 3,01 -1,41%"
65,"Gabón [+] 2019 30,97‰ 3,92 -1,18%"
66,"Granada [+] 2019 16,20‰ 2,04 -1,02%"
67,"Georgia [+] 2019 48.296 25.029 23.267 13,00‰ 2,02 -3,35%"
68,"Ghana [+] 2019 28,99‰ 3,82 -1,40%"
69,"Gambia [+] 2019 38,07‰ 5,15 -1,25%"
70,"Guinea [+] 2019 35,97‰ 4,63 -1,60%"
71,"Guinea Ecuatorial [+] 2019 32,78‰ 4,43 -1,86%"
72,"Grecia [+] 2019 83.763 42.945 40.818 7,80‰ 1,34 -0,74%"
73,"Guatemala [+] 2019 24,21‰ 2,82 -1,67%"
74,"Guinea-Bisáu [+] 2019 34,56‰ 4,40 -1,65%"
75,"Guyana [+] 2019 19,72‰ 2,44 -0,89%"
76,"Hong Kong [+] 2019 7,00‰ 1,05 -1,96%"
77,"Honduras [+] 2019 21,34‰ 2,43 -1,34%"
78,"Croacia [+] 2019 36.135 18.478 17.657 8,90‰ 1,47 0"
79,"Haití [+] 2019 23,96‰ 2,89 -1,64%"
80,"Hungría [+] 2019 93.100 47.984 45.116 9,50‰ 1,55 0"
81,"Indonesia [+] 2019 17,75‰ 2,29 -1,00%"
82,"Irlanda [+] 2019 59.289 30.270 29.019 12,00‰ 1,71 -2,29%"
83,"Israel [+] 2019 20,10‰ 3,01 -2,59%"
84,"India [+] 2019 17,64‰ 2,20 -0,90%"
85,"Irak [+] 2019 28,56‰ 3,60 -2,04%"
86,"Irán [+] 2019 18,42‰ 2,15 0,42%"
87,"Islandia [+] 2019 4.452 2.267 2.185 12,30‰ 1,74 1,75%"
88,"Jamaica [+] 2019 15,91‰ 1,97 -0,71%"
89,"Jordania [+] 2019 21,48‰ 2,69 -2,54%"
90,"Kenia [+] 2019 28,30‰ 3,42 -1,98%"
91,"Kirguistán [+] 2019 26,90‰ 3,30 0"
92,"Camboya [+] 2019 22,02‰ 2,48 -1,00%"
93,"Kiribati [+] 2019 27,45‰ 3,53 -1,09%"
94,"Comoras [+] 2019 31,41‰ 4,14 -1,59%"
95,"San Cristóbal y Nieves [+] 2019 11,20‰ 2,11 -12,21%"
96,"Corea del Norte [+] 2019 13,85‰ 1,90 -0,42%"
97,"Corea del Sur [+] 2019 302.676 5,90‰ 0,92 -6,04%"
98,"Kuwait [+] 2019 13,25‰ 2,08 -0,24%"
99,"Kazajistán [+] 2019 21,73‰ 2,90 2,11%"
100,"Laos [+] 2019 23,12‰ 2,63 -1,54%"
101,"Líbano [+] 2019 17,38‰ 2,08 -0,57%"
102,"Santa Lucía [+] 2019 11,84‰ 1,42 -0,84%"
103,"Liechtenstein [+] 2019 356 182 174 9,20‰ 1,48 -6,33%"
104,"Sri Lanka [+] 2019 15,54‰ 2,19 -0,50%"
105,"Liberia [+] 2019 32,69‰ 4,25 -1,58%"
106,"Lesoto [+] 2019 26,42‰ 3,11 -1,05%"
107,"Lituania [+] 2019 27.393 14.086 13.307 9,80‰ 1,61 -1,23%"
108,"Luxemburgo [+] 2019 6.230 3.107 3.123 10,00‰ 1,34 -2,90%"
109,"Letonia [+] 2019 18.786 9.629 9.157 9,80‰ 1,61 0,63%"
110,"Libia [+] 2019 18,30‰ 2,21 -1,52%"
111,"Marruecos [+] 2019 18,50‰ 2,38 -1,37%"
112,"Mónaco [+] 2018 227 462 432 5,90‰"
113,"Moldavia [+] 2019 32.022 19.304 18.090 12,00‰ 1,27 0,55%"
114,"Montenegro [+] 2019 7.223 3.777 3.446 11,60‰ 1,77 0,57%"
115,"Madagascar [+] 2019 32,41‰ 4,03 -1,25%"
116,"Islas Marshall [+] 2011 29,00‰ 4,05 -10,00%"
117,"Macedonia del Norte [+] 2019 19.845 10.276 9.569 9,60‰ 1,34 -5,63%"
118,"Malí [+] 2019 41,04‰ 5,79 -1,57%"
119,"Myanmar [+] 2019 17,40‰ 2,14 -0,74%"
120,"Mongolia [+] 2019 23,36‰ 2,87 -0,97%"
121,"Mauritania [+] 2019 33,26‰ 4,50 -1,27%"
122,"Malta [+] 2019 4.350 2.260 2.090 8,60‰ 1,14 -7,32%"
123,"Mauricio [+] 2019 10,20‰ 1,40 -0,71%"
124,"Maldivas [+] 2019 13,58‰ 1,84 -1,60%"
125,"Malaui [+] 2019 33,73‰ 4,13 -1,95%"
126,"México [+] 2019 2.092.214 1.061.978 1.030.194 17,30‰ 2,10 -1,22%"
127,"Malasia [+] 2019 16,61‰ 1,98 -0,90%"
128,"Mozambique [+] 2019 37,17‰ 4,78 -1,42%"
129,"Namibia [+] 2019 28,15‰ 3,34 -1,53%"
130,"Níger [+] 2019 45,64‰ 6,82 -1,29%"
131,"Nigeria [+] 2019 37,45‰ 5,32 -1,30%"
132,"Nicaragua [+] 2019 20,22‰ 2,38 -1,12%"
133,"Países Bajos [+] 2019 169.680 86.893 82.787 9,80‰ 1,57 -1,26%"
134,"Noruega [+] 2019 54.495 28.042 26.453 10,20‰ 1,53 -1,92%"
135,"Nepal [+] 2019 19,58‰ 1,88 -2,14%"
136,"Nueva Zelanda [+] 2019 11,96‰ 1,72 0,58%"
137,"Omán [+] 2019 18,51‰ 2,84 -1,59%"
138,"Panamá [+] 2019 18,71‰ 2,44 -0,98%"
139,"Perú [+] 2019 581.022 18,10‰ 2,23 -0,93%"
140,"Papúa Nueva Guinea [+] 2019 26,79‰ 3,52 -1,23%"
141,"Filipinas [+] 2019 20,17‰ 2,53 -1,94%"
142,"Pakistán [+] 2019 27,84‰ 3,45 -1,60%"
143,"Polonia [+] 2019 374.954 192.685 182.269 9,90‰ 1,44 -1,37%"
144,"Estado de Palestina [+] 2019 28,72‰ 3,56 -2,28%"
145,"Palaos [+] 2019 11,20‰ 2,21 -0,90%"
146,"Paraguay [+] 2019 20,34‰ 2,41 -0,99%"
147,"Catar [+] 2019 9,39‰ 1,85 -1,07%"
148,"Rumanía [+] 2019 199.720 102.401 97.319 10,30‰ 1,77 0,57%"
149,"Serbia [+] 2019 64.399 33.137 31.262 9,30‰ 1,52 2,01%"
150,"Rusia [+] 2019 1.940.579 984.552 928.920 10,10‰ 1,50 -4,75%"
151,"Ruanda [+] 2019 31,25‰ 3,99 -1,34%"
152,"Arabia Saudita [+] 2019 17,30‰ 2,28 -1,90%"
153,"Islas Salomón [+] 2019 31,96‰ 4,36 -0,95%"
154,"Seychelles [+] 2019 16,40‰ 2,36 -2,07%"
155,"Sudán [+] 2019 31,83‰ 4,35 -1,36%"
156,"Suecia [+] 2019 114.523 59.002 55.521 11,10‰ 1,71 -2,84%"
157,"Singapur [+] 2019 8,80‰ 1,14 0"
158,"Eslovenia [+] 2019 19.328 9.977 9.351 9,30‰ 1,61 0,63%"
159,"Eslovaquia [+] 2019 57.054 29.143 27.911 10,50‰ 1,57 1,95%"
160,"Sierra Leona [+] 2019 32,88‰ 4,17 -2,21%"
161,"San Marino [+] 2019 232 121 107 6,70‰ 1,26"
162,"Senegal [+] 2019 33,95‰ 4,56 -1,49%"
163,"Somalia [+] 2019 41,59‰ 5,98 -1,55%"
164,"Surinam [+] 2019 18,30‰ 2,39 -0,99%"
165,"Sudán del Sur [+] 2019 34,65‰ 4,62 -1,64%"
166,"Santo Tomé y Príncipe [+] 2019 31,15‰ 4,27 -1,25%"
167,"El Salvador [+] 2019 18,05‰ 2,02 -0,88%"
168,"Siria [+] 2019 23,22‰ 2,77 -1,32%"
169,"Eswatini [+] 2019 25,88‰ 2,96 -1,07%"
170,"Chad [+] 2019 41,67‰ 5,65 -1,71%"
171,"Togo [+] 2019 32,71‰ 4,26 -1,41%"
172,"Tailandia [+] 2019 10,17‰ 1,51 -0,72%"
173,"Tayikistán [+] 2019 30,04‰ 3,56 -0,81%"
174,"Timor Oriental [+] 2019 29,28‰ 3,94 -1,99%"
175,"Turkmenistán [+] 2019 23,07‰ 2,74 -1,65%"
176,"Túnez [+] 2019 17,09‰ 2,17 -1,05%"
177,"Tonga [+] 2019 24,01‰ 3,52 -1,07%"
178,"Türkiye [+] 2019 1.183.652 606.861 576.791 14,30‰ 1,88 -5,53%"
179,"Trinidad y Tobago [+] 2019 12,58‰ 1,71 -0,81%"
180,"Tanzania [+] 2019 36,34‰ 4,83 -1,23%"
181,"Ucrania [+] 2019 308.817 159.792 149.025 7,40‰ 1,14 -5,00%"
182,"Uganda [+] 2019 37,38‰ 4,82 -2,64%"
183,"Uruguay [+] 2019 48.200 13,74‰ 1,96 -0,51%"
184,"Uzbekistán [+] 2019 24,30‰ 2,79 6,95%"
185,"San Vicente y las Granadinas [+] 2019 14,09‰ 1,87 -1,00%"
186,"Venezuela [+] 2019 615.132 316.884 298.248 17,57‰ 2,25 -0,97%"
187,"Viet Nam [+] 2019 16,45‰ 2,05 0,05%"
188,"Vanuatu [+] 2019 29,18‰ 3,74 -1,00%"
189,"Samoa [+] 2019 24,10‰ 3,83 -1,21%"
190,"Yemen [+] 2019 29,87‰ 3,70 -2,43%"
191,"Sudáfrica [+] 2019 20,13‰ 2,38 -1,00%"
192,"Zambia [+] 2019 35,78‰ 4,56 -1,60%"
193,"Zimbabue [+] 2019 29,75‰ 3,53 -2,32%"
