,0
52,"Yibuti [+] 2020 20,54‰ 2,63 -1,83%"
53,"Dinamarca [+] 2020 60.937 31.175 29.762 10,40‰ 1,68 -1,18%"
54,"Dominica [+] 2017 9,60‰ 1,90 0"
55,"República Dominicana [+] 2020 18,86‰ 2,30 -1,03%"
56,"Argelia [+] 2020 22,78‰ 2,94 -1,54%"
57,"Ecuador [+] 2020 19,19‰ 2,38 -0,96%"
58,"Estonia [+] 2020 13.209 6.736 6.473 9,90‰ 1,58 -4,82%"
59,"Egipto [+] 2020 25,07‰ 3,24 -1,34%"
60,"Eritrea [+] 2020 29,22‰ 3,93 -1,60%"
61,"Etiopía [+] 2020 31,44‰ 4,05 -2,34%"
62,"Finlandia [+] 2020 46.463 23.778 22.685 8,40‰ 1,37 1,48%"
63,"Fiyi [+] 2020 20,60‰ 2,73 -0,91%"
64,"Estados Federados de Micronesia [+] 2020 22,61‰ 2,97 -1,40%"
65,"Gabón [+] 2020 30,26‰ 3,87 -1,35%"
66,"Granada [+] 2020 15,90‰ 2,02 -0,93%"
67,"Georgia [+] 2020 46.520 24.289 22.231 12,50‰ 1,98 -1,98%"
68,"Ghana [+] 2020 28,60‰ 3,77 -1,34%"
69,"Gambia [+] 2020 37,59‰ 5,09 -1,30%"
70,"Guinea [+] 2020 35,57‰ 4,55 -1,58%"
71,"Guinea Ecuatorial [+] 2020 32,35‰ 4,35 -1,87%"
72,"Grecia [+] 2020 84.764 43.531 41.233 7,90‰ 1,39 3,73%"
73,"Guatemala [+] 2020 23,85‰ 2,78 -1,59%"
74,"Guinea-Bisáu [+] 2020 34,01‰ 4,33 -1,61%"
75,"Guyana [+] 2020 19,47‰ 2,42 -0,90%"
76,"Hong Kong [+] 2020 5,80‰ 0,87 -17,41%"
77,"Honduras [+] 2020 21,06‰ 2,39 -1,36%"
78,"Croacia [+] 2020 35.845 18.389 17.456 8,90‰ 1,48 0,68%"
79,"Haití [+] 2020 23,58‰ 2,84 -1,56%"
80,"Hungría [+] 2020 93.807 48.273 45.534 9,60‰ 1,59 2,58%"
81,"Indonesia [+] 2020 17,45‰ 2,27 -0,96%"
82,"Irlanda [+] 2020 55.959 28.902 27.057 11,20‰ 1,63 -4,68%"
83,"Israel [+] 2020 19,20‰ 2,90 -3,65%"
84,"India [+] 2020 17,44‰ 2,18 -0,82%"
85,"Irak [+] 2020 28,14‰ 3,54 -1,67%"
86,"Irán [+] 2020 17,94‰ 2,14 -0,19%"
87,"Islandia [+] 2020 4.512 2.385 2.127 12,30‰ 1,72 -1,15%"
88,"Jamaica [+] 2020 15,70‰ 1,95 -0,76%"
89,"Jordania [+] 2020 21,11‰ 2,64 -1,93%"
90,"Kenia [+] 2020 27,94‰ 3,37 -1,69%"
91,"Kirguistán [+] 2020 24,00‰ 3,00 -9,09%"
92,"Camboya [+] 2020 21,56‰ 2,45 -1,01%"
93,"Kiribati [+] 2020 27,00‰ 3,49 -1,05%"
94,"Comoras [+] 2020 30,95‰ 4,07 -1,57%"
95,"San Cristóbal y Nieves [+] 2019 11,20‰ 2,11 -12,21%"
96,"Corea del Norte [+] 2020 13,78‰ 1,89 -0,47%"
97,"Corea del Sur [+] 2020 272.337 5,30‰ 0,84 -8,82%"
98,"Kuwait [+] 2020 12,62‰ 2,07 -0,43%"
99,"Kazajistán [+] 2020 22,76‰ 3,13 7,93%"
100,"Laos [+] 2020 22,66‰ 2,58 -1,64%"
101,"Líbano [+] 2020 17,17‰ 2,06 -0,72%"
102,"Santa Lucía [+] 2020 11,66‰ 1,41 -0,91%"
103,"Liechtenstein [+] 2020 353 165 188 9,10‰ 1,46 -1,35%"
104,"Sri Lanka [+] 2020 15,25‰ 2,17 -0,64%"
105,"Liberia [+] 2020 32,36‰ 4,18 -1,51%"
106,"Lesoto [+] 2020 26,00‰ 3,07 -1,22%"
107,"Lituania [+] 2020 25.144 13.029 12.115 9,00‰ 1,48 -8,07%"
108,"Luxemburgo [+] 2020 6.459 3.296 3.163 10,20‰ 1,36 1,49%"
109,"Letonia [+] 2020 17.552 9.036 8.516 9,20‰ 1,55 -3,73%"
110,"Libia [+] 2020 17,81‰ 2,18 -1,41%"
111,"Marruecos [+] 2020 18,10‰ 2,35 -1,22%"
112,"Mónaco [+] 2018 227 462 432 5,90‰"
113,"Moldavia [+] 2020 30.730 16.111 14.619 11,70‰ 1,28 0,71%"
114,"Montenegro [+] 2020 7.097 3.674 3.423 11,40‰ 1,75 -1,13%"
115,"Madagascar [+] 2020 32,15‰ 3,98 -1,24%"
116,"Islas Marshall [+] 2011 29,00‰ 4,05 -10,00%"
117,"Macedonia del Norte [+] 2020 19.031 9.796 9.235 9,20‰ 1,31 -2,24%"
118,"Malí [+] 2020 40,56‰ 5,69 -1,59%"
119,"Myanmar [+] 2020 17,23‰ 2,12 -0,80%"
120,"Mongolia [+] 2020 22,56‰ 2,83 -1,15%"
121,"Mauritania [+] 2020 32,84‰ 4,45 -1,20%"
122,"Malta [+] 2020 4.414 2.283 2.131 8,60‰ 1,13 -0,88%"
123,"Mauricio [+] 2020 10,60‰ 1,44 2,86%"
124,"Maldivas [+] 2020 13,06‰ 1,82 -1,36%"
125,"Malaui [+] 2020 33,42‰ 4,06 -1,74%"
126,"México [+] 2020 1.629.211 828.944 800.264 17,01‰ 2,08 -1,14%"
127,"Malasia [+] 2020 16,44‰ 1,97 -0,91%"
128,"Mozambique [+] 2020 36,81‰ 4,71 -1,46%"
129,"Namibia [+] 2020 27,66‰ 3,29 -1,53%"
130,"Níger [+] 2020 45,21‰ 6,74 -1,30%"
131,"Nigeria [+] 2020 37,01‰ 5,25 -1,30%"
132,"Nicaragua [+] 2020 19,79‰ 2,35 -1,18%"
133,"Países Bajos [+] 2020 168.681 86.497 82.184 9,70‰ 1,54 -1,91%"
134,"Noruega [+] 2020 52.979 27.063 25.916 9,80‰ 1,48 -3,27%"
135,"Nepal [+] 2020 19,26‰ 1,85 -1,65%"
136,"Nueva Zelanda [+] 2020 11,32‰ 1,61 -6,40%"
137,"Omán [+] 2020 17,78‰ 2,78 -2,08%"
138,"Panamá [+] 2020 18,45‰ 2,42 -0,90%"
139,"Perú [+] 2020 421.096 12,90‰ 2,21 -0,94%"
140,"Papúa Nueva Guinea [+] 2020 26,52‰ 3,48 -1,22%"
141,"Filipinas [+] 2020 19,89‰ 2,49 -1,43%"
142,"Pakistán [+] 2020 27,38‰ 3,39 -1,74%"
143,"Polonia [+] 2020 355.309 182.300 173.009 9,40‰ 1,39 -3,47%"
144,"Estado de Palestina [+] 2020 28,21‰ 3,49 -1,99%"
145,"Palaos [+] 2020 11,00‰ 2,21 -0,90%"
146,"Paraguay [+] 2020 20,09‰ 2,38 -0,91%"
147,"Catar [+] 2020 9,23‰ 1,83 -1,03%"
148,"Rumanía [+] 2020 198.302 102.340 95.962 10,30‰ 1,80 1,69%"
149,"Serbia [+] 2020 61.692 31.783 29.909 8,90‰ 1,48 -2,63%"
150,"Rusia [+] 2020 1.940.579 984.552 928.920 9,80‰ 1,51 0,07%"
151,"Ruanda [+] 2020 30,73‰ 3,93 -1,60%"
152,"Arabia Saudita [+] 2020 16,81‰ 2,24 -1,63%"
153,"Islas Salomón [+] 2020 31,45‰ 4,31 -1,19%"
154,"Seychelles [+] 2020 15,80‰ 2,29 -2,97%"
155,"Sudán [+] 2020 31,49‰ 4,29 -1,33%"
156,"Suecia [+] 2020 113.077 58.255 54.822 10,90‰ 1,67 -2,34%"
157,"Singapur [+] 2020 8,50‰ 1,10 -3,51%"
158,"Eslovenia [+] 2020 18.767 9.693 9.074 8,90‰ 1,59 -1,24%"
159,"Eslovaquia [+] 2020 56.650 28.928 27.722 10,40‰ 1,59 1,27%"
160,"Sierra Leona [+] 2020 32,35‰ 4,08 -2,21%"
161,"San Marino [+] 2020 232 121 107 6,40‰ 1,26"
162,"Senegal [+] 2020 33,42‰ 4,49 -1,43%"
163,"Somalia [+] 2020 41,41‰ 5,89 -1,56%"
164,"Surinam [+] 2020 18,05‰ 2,37 -0,96%"
165,"Sudán del Sur [+] 2020 34,30‰ 4,54 -1,65%"
166,"Santo Tomé y Príncipe [+] 2020 30,81‰ 4,21 -1,24%"
167,"El Salvador [+] 2020 17,83‰ 2,00 -0,94%"
168,"Siria [+] 2020 22,71‰ 2,73 -1,34%"
169,"Eswatini [+] 2020 25,40‰ 2,92 -1,32%"
170,"Chad [+] 2020 41,16‰ 5,55 -1,70%"
171,"Togo [+] 2020 32,33‰ 4,20 -1,41%"
172,"Tailandia [+] 2020 9,99‰ 1,50 -0,86%"
173,"Tayikistán [+] 2020 29,23‰ 3,52 -1,01%"
174,"Timor Oriental [+] 2020 29,02‰ 3,85 -2,28%"
175,"Turkmenistán [+] 2020 22,35‰ 2,70 -1,42%"
176,"Túnez [+] 2020 16,60‰ 2,15 -1,06%"
177,"Tonga [+] 2020 23,75‰ 3,48 -1,05%"
178,"Türkiye [+] 2020 1.112.859 570.892 541.967 13,30‰ 2,04 8,46%"
179,"Trinidad y Tobago [+] 2020 12,24‰ 1,70 -0,70%"
180,"Tanzania [+] 2020 35,98‰ 4,77 -1,22%"
181,"Ucrania [+] 2020 293.457 151.568 141.889 7,10‰ 1,22 6,75%"
182,"Uganda [+] 2020 36,67‰ 4,70 -2,51%"
183,"Uruguay [+] 2020 48.200 13,62‰ 1,95 -0,56%"
184,"Uzbekistán [+] 2020 24,60‰ 2,90 4,13%"
185,"San Vicente y las Granadinas [+] 2020 13,94‰ 1,85 -0,96%"
186,"Venezuela [+] 2020 615.132 316.884 298.248 17,30‰ 2,23 -0,89%"
187,"Viet Nam [+] 2020 16,12‰ 2,05 -0,20%"
188,"Vanuatu [+] 2020 28,76‰ 3,71 -0,99%"
189,"Samoa [+] 2020 23,86‰ 3,79 -1,17%"
190,"Yemen [+] 2020 29,30‰ 3,61 -2,32%"
191,"Sudáfrica [+] 2020 19,77‰ 2,36 -0,97%"
192,"Zambia [+] 2020 35,44‰ 4,50 -1,38%"
193,"Zimbabue [+] 2020 28,98‰ 3,46 -2,01%"
