,0
31,"Bolivia [+] 2017 22,08‰ 2,78 -1,84%"
32,"Brasil [+] 2017 14,13‰ 1,74 -0,46%"
33,"Bahamas [+] 2017 14,05‰ 1,76 -0,51%"
34,"Bután [+] 2017 17,46‰ 1,99 -0,99%"
35,"Botsuana [+] 2017 25,40‰ 2,91 -1,09%"
36,"Bielorrusia [+] 2017 102.556 52.712 49.844 10,80‰ 1,54 -10,98%"
37,"Belice [+] 2017 21,08‰ 2,35 -1,88%"
38,"Canadá [+] 2017 388.729 199.381 189.348 10,30‰ 1,54 -3,14%"
39,"República Democrática del Congo [+] 2017 41,73‰ 6,02 -1,55%"
40,"República Centroafricana [+] 2017 35,66‰ 4,80 -1,52%"
41,"República del Congo [+] 2017 33,38‰ 4,48 -1,19%"
42,"Suiza [+] 2017 87.381 44.873 42.508 10,30‰ 1,52 -1,30%"
43,"Costa de Marfil [+] 2017 35,99‰ 4,70 -1,16%"
44,"Chile [+] 2017 12,71‰ 1,68 -2,04%"
45,"Camerún [+] 2017 35,90‰ 4,64 -1,47%"
46,"Colombia [+] 2017 649.742 333.299 316.443 15,10‰ 1,83 -0,98%"
47,"Costa Rica [+] 2017 14,25‰ 1,77 -0,95%"
48,"Cuba [+] 2017 10,39‰ 1,64 -1,15%"
49,"Cabo Verde [+] 2017 19,92‰ 2,31 -1,58%"
50,"Chipre [+] 2017 9.229 4.765 4.464 10,70‰ 1,32 -3,65%"
51,"Chequia [+] 2017 114.405 58.671 55.734 10,80‰ 1,69 3,68%"
52,"Yibuti [+] 2017 21,94‰ 2,79 -2,14%"
53,"Dinamarca [+] 2017 61.397 31.467 29.930 10,60‰ 1,75 -2,23%"
54,"Dominica [+] 2017 9,60‰ 1,90 0"
55,"República Dominicana [+] 2017 19,80‰ 2,37 -0,84%"
56,"Argelia [+] 2017 24,85‰ 3,05 -0,23%"
57,"Ecuador [+] 2017 19,97‰ 2,45 -0,97%"
58,"Estonia [+] 2017 13.784 7.191 6.593 10,50‰ 1,59 -0,63%"
59,"Egipto [+] 2017 27,05‰ 3,37 -1,17%"
60,"Eritrea [+] 2017 30,90‰ 4,11 -1,25%"
61,"Etiopía [+] 2017 32,78‰ 4,35 -2,38%"
62,"Finlandia [+] 2017 50.321 25.674 24.647 9,10‰ 1,49 -5,10%"
63,"Fiyi [+] 2017 21,56‰ 2,79 -0,32%"
64,"Estados Federados de Micronesia [+] 2017 22,94‰ 3,10 -1,49%"
65,"Gabón [+] 2017 32,16‰ 4,01 -0,77%"
66,"Granada [+] 2017 16,70‰ 2,08 -1,00%"
67,"Georgia [+] 2017 53.293 27.658 25.635 14,30‰ 2,14 -4,04%"
68,"Ghana [+] 2017 29,84‰ 3,93 -1,46%"
69,"Gambia [+] 2017 38,97‰ 5,28 -1,07%"
70,"Guinea [+] 2017 36,77‰ 4,78 -1,59%"
71,"Guinea Ecuatorial [+] 2017 33,73‰ 4,60 -1,86%"
72,"Grecia [+] 2017 88.553 45.686 42.867 8,20‰ 1,35 -2,17%"
73,"Guatemala [+] 2017 24,91‰ 2,92 -1,78%"
74,"Guinea-Bisáu [+] 2017 35,70‰ 4,55 -1,68%"
75,"Guyana [+] 2017 20,20‰ 2,49 -0,96%"
76,"Hong Kong [+] 2017 7,70‰ 1,13 -6,64%"
77,"Honduras [+] 2017 21,86‰ 2,50 -1,58%"
78,"Croacia [+] 2017 36.556 18.845 17.711 8,90‰ 1,42 0"
79,"Haití [+] 2017 24,75‰ 2,99 -1,81%"
80,"Hungría [+] 2017 94.646 48.591 46.055 9,70‰ 1,54 0,65%"
81,"Indonesia [+] 2017 18,42‰ 2,34 -1,10%"
82,"Irlanda [+] 2017 61.824 31.779 30.045 12,90‰ 1,77 -2,21%"
83,"Israel [+] 2017 21,10‰ 3,11 0"
84,"India [+] 2017 18,08‰ 2,24 -1,02%"
85,"Irak [+] 2017 29,69‰ 3,76 -2,64%"
86,"Irán [+] 2017 19,01‰ 2,12 1,58%"
87,"Islandia [+] 2017 4.071 2.112 1.959 11,90‰ 1,71 -1,72%"
88,"Jamaica [+] 2017 16,29‰ 1,99 -0,80%"
89,"Jordania [+] 2017 22,62‰ 2,85 -3,55%"
90,"Kenia [+] 2017 29,30‰ 3,57 -2,48%"
91,"Kirguistán [+] 2017 24,80‰ 3,00 -3,23%"
92,"Camboya [+] 2017 22,89‰ 2,53 -1,13%"
93,"Kiribati [+] 2017 28,29‰ 3,61 -1,12%"
94,"Comoras [+] 2017 32,37‰ 4,28 -1,66%"
95,"San Cristóbal y Nieves [+] 2014 12,60‰ 2,11 -12,21%"
96,"Corea del Norte [+] 2017 13,91‰ 1,91 -0,31%"
97,"Corea del Sur [+] 2017 357.771 7,00‰ 1,05 -10,24%"
98,"Kuwait [+] 2017 14,65‰ 2,08 0,05%"
99,"Kazajistán [+] 2017 21,64‰ 2,75 -0,72%"
100,"Laos [+] 2017 23,96‰ 2,71 -1,53%"
101,"Líbano [+] 2017 17,67‰ 2,10 -0,33%"
102,"Santa Lucía [+] 2017 12,14‰ 1,45 -0,89%"
103,"Liechtenstein [+] 2017 338 176 162 8,90‰ 1,44 -10,56%"
104,"Sri Lanka [+] 2017 16,11‰ 2,21 -0,23%"
105,"Liberia [+] 2017 33,43‰ 4,39 -1,66%"
106,"Lesoto [+] 2017 27,17‰ 3,17 -0,81%"
107,"Lituania [+] 2017 28.696 14.775 13.921 10,10‰ 1,63 -3,55%"
108,"Luxemburgo [+] 2017 6.174 3.171 3.003 10,40‰ 1,39 -1,42%"
109,"Letonia [+] 2017 20.828 10.797 10.031 10,70‰ 1,69 -2,87%"
110,"Libia [+] 2017 19,38‰ 2,28 -1,73%"
111,"Marruecos [+] 2017 19,40‰ 2,45 -1,53%"
112,"Mónaco [+] 2016 295 462 432 7,80‰"
113,"Moldavia [+] 2017 36.640 19.304 18.090 13,30‰ 1,26 0"
114,"Montenegro [+] 2017 7.432 3.873 3.559 11,90‰ 1,78 -0,56%"
115,"Madagascar [+] 2017 32,90‰ 4,13 -1,29%"
116,"Islas Marshall [+] 2011 29,00‰ 4,05 -10,00%"
117,"Macedonia del Norte [+] 2017 21.754 11.160 10.594 10,50‰ 1,43 -4,67%"
118,"Malí [+] 2017 42,08‰ 5,97 -1,47%"
119,"Myanmar [+] 2017 17,70‰ 2,17 -0,64%"
120,"Mongolia [+] 2017 24,83‰ 2,91 -0,31%"
121,"Mauritania [+] 2017 34,13‰ 4,62 -1,28%"
122,"Malta [+] 2017 4.319 2.215 2.104 9,20‰ 1,26 -8,03%"
123,"Mauricio [+] 2017 10,70‰ 1,44 2,86%"
124,"Maldivas [+] 2017 14,89‰ 1,91 -2,11%"
125,"Malaui [+] 2017 34,59‰ 4,30 -2,38%"
126,"México [+] 2017 2.234.039 1.134.349 1.099.674 17,92‰ 2,16 -1,33%"
127,"Malasia [+] 2017 16,87‰ 2,02 -0,88%"
128,"Mozambique [+] 2017 37,88‰ 4,92 -1,40%"
129,"Namibia [+] 2017 29,11‰ 3,45 -1,40%"
130,"Níger [+] 2017 46,54‰ 7,00 -1,21%"
131,"Nigeria [+] 2017 38,38‰ 5,46 -1,25%"
132,"Nicaragua [+] 2017 21,06‰ 2,43 -1,02%"
133,"Países Bajos [+] 2017 169.836 87.159 82.677 9,90‰ 1,62 -2,41%"
134,"Noruega [+] 2017 56.633 29.173 27.460 10,70‰ 1,62 -5,26%"
135,"Nepal [+] 2017 20,20‰ 1,97 -2,96%"
136,"Nueva Zelanda [+] 2017 12,38‰ 1,81 -3,21%"
137,"Omán [+] 2017 19,79‰ 2,92 -0,58%"
138,"Panamá [+] 2017 19,26‰ 2,49 -1,07%"
139,"Perú [+] 2017 610.316 19,70‰ 2,28 -0,96%"
140,"Papúa Nueva Guinea [+] 2017 27,36‰ 3,61 -1,29%"
141,"Filipinas [+] 2017 21,04‰ 2,64 -2,87%"
142,"Pakistán [+] 2017 28,60‰ 3,56 -1,38%"
143,"Polonia [+] 2017 401.982 206.410 195.572 10,60‰ 1,48 6,47%"
144,"Estado de Palestina [+] 2017 29,91‰ 3,74 -2,76%"
145,"Palaos [+] 2017 12,40‰ 2,21 -0,90%"
146,"Paraguay [+] 2017 20,79‰ 2,45 -1,05%"
147,"Catar [+] 2017 9,70‰ 1,89 -1,10%"
148,"Rumanía [+] 2017 210.590 108.146 102.444 10,80‰ 1,78 5,33%"
149,"Serbia [+] 2017 64.894 33.321 31.573 9,20‰ 1,49 2,05%"
150,"Rusia [+] 2017 1.940.579 984.552 928.920 11,50‰ 1,62 -8,00%"
151,"Ruanda [+] 2017 32,06‰ 4,09 -0,85%"
152,"Arabia Saudita [+] 2017 18,32‰ 2,37 -2,55%"
153,"Islas Salomón [+] 2017 32,88‰ 4,43 -0,40%"
154,"Seychelles [+] 2017 17,20‰ 2,41 0,84%"
155,"Sudán [+] 2017 32,54‰ 4,47 -1,39%"
156,"Suecia [+] 2017 115.416 59.256 56.160 11,50‰ 1,78 -3,78%"
157,"Singapur [+] 2017 8,90‰ 1,16 -3,33%"
158,"Eslovenia [+] 2017 20.241 10.483 9.758 9,80‰ 1,62 2,53%"
159,"Eslovaquia [+] 2017 57.969 29.773 28.196 10,70‰ 1,52 2,70%"
160,"Sierra Leona [+] 2017 33,94‰ 4,36 -2,20%"
161,"San Marino [+] 2017 228 121 107 6,70‰ 1,26"
162,"Senegal [+] 2017 35,12‰ 4,70 -1,53%"
163,"Somalia [+] 2017 41,92‰ 6,17 -1,55%"
164,"Surinam [+] 2017 18,79‰ 2,44 -1,05%"
165,"Sudán del Sur [+] 2017 35,37‰ 4,78 -1,65%"
166,"Santo Tomé y Príncipe [+] 2017 31,97‰ 4,37 -1,17%"
167,"El Salvador [+] 2017 18,43‰ 2,06 -0,96%"
168,"Siria [+] 2017 24,12‰ 2,85 -1,45%"
169,"Eswatini [+] 2017 26,77‰ 3,02 -0,76%"
170,"Chad [+] 2017 42,68‰ 5,85 -1,70%"
171,"Togo [+] 2017 33,55‰ 4,38 -1,46%"
172,"Tailandia [+] 2017 10,51‰ 1,53 -0,33%"
173,"Tayikistán [+] 2017 31,36‰ 3,61 -0,33%"
174,"Timor Oriental [+] 2017 29,45‰ 4,09 -1,52%"
175,"Turkmenistán [+] 2017 24,62‰ 2,84 -1,77%"
176,"Túnez [+] 2017 18,01‰ 2,22 -0,85%"
177,"Tonga [+] 2017 24,63‰ 3,60 -1,13%"
178,"Türkiye [+] 2017 1.291.055 662.928 628.127 16,10‰ 2,07 -1,90%"
179,"Trinidad y Tobago [+] 2017 13,30‰ 1,74 -0,80%"
180,"Tanzania [+] 2017 37,08‰ 4,95 -1,24%"
181,"Ucrania [+] 2017 363.987 187.528 176.459 8,60‰ 1,26 -6,67%"
182,"Uganda [+] 2017 38,95‰ 5,10 -2,80%"
183,"Uruguay [+] 2017 48.200 13,96‰ 1,98 -0,40%"
184,"Uzbekistán [+] 2017 22,10‰ 2,42 -1,47%"
185,"San Vicente y las Granadinas [+] 2017 14,40‰ 1,91 -1,04%"
186,"Venezuela [+] 2017 615.132 316.884 298.248 18,23‰ 2,29 -0,99%"
187,"Viet Nam [+] 2017 16,98‰ 2,04 0,59%"
188,"Vanuatu [+] 2017 30,02‰ 3,82 -1,01%"
189,"Samoa [+] 2017 24,69‰ 3,93 -1,26%"
190,"Yemen [+] 2017 31,04‰ 3,89 -2,60%"
191,"Sudáfrica [+] 2017 20,91‰ 2,43 -1,10%"
192,"Zambia [+] 2017 36,70‰ 4,72 -1,99%"
193,"Zimbabue [+] 2017 31,73‰ 3,71 -2,55%"
